project_id,project_name,category,status,latitude,longitude,coord_flag,start_year,completion_year,contract_amount,contractor,province,region,before_scene_count,after_scene_count,composite_valid,anywhere_ibi,anywhere_bui,anywhere_ndvi,anywhere_ndbi,anywhere_mndwi,anywhere_tcb,anywhere_tcg,anywhere_tcw,anywhere_ndti,broad_ibi,broad_bui,broad_ndvi,broad_ndbi,broad_mndwi,broad_tcb,broad_tcg,broad_tcw,broad_ndti,tight_ibi,tight_bui,tight_ndvi,tight_ndbi,tight_mndwi,tight_tcb,tight_tcg,tight_tcw,tight_ndti,before_tile_url,after_tile_url,signal_pattern,signal_interpretation,data_quality,ghost_probability,ghost_tier,coord_displacement,neighbour_mean_ibi,anomalous_vs_neighbourhood
17DK0040,"FLOOD CONTROL PROJECT BRGY. POBLACION, BURDEOS, QUEZON, STA 0+000-STA0+085.03",Flood Control and Drainage,Completed,14.847381,121.97257,ok,2017,2017,1878874.05,MM SENAR CONSTRUCTION AND SUPPLY (38370),,,0,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/d33d271cb070199c834cb4cbcc9f27f1-8710119ba1302511c084cac94eea47ae/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/bf944e18ec5c6b0e4098274c30db9b9b-6be1c7ad2a684fa16b7265fb3bd33a26/tiles/{z}/{x}/{y},T-B-A-,No signal -- likely ghost project or coordinate error > 150m,sparse_before,0.5,suspect,ghost_or_lost_coord,,
17OB0094,"IMPROVEMENT OF CREEK BED, MAHABANG ILOG CREEK, BRGY. MAYBUNGA AND BRGY. SAN MIGUEL, PASIG CITY",Flood Control and Drainage,Completed,14.569413,121.089836,ok,2017,2017,17595860.59,DAHL CONSTRUCTION CORP. (FORMERLY: DAHL CONSTRUCTION) (8931),,,0,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/dd5306d578e166c77380926dcac4d199-dd9bd84bd31cfb0156e2b4b7f97d4326/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/df321bcb5aa043af3791e4291e9305a2-53c191a51660a2fbb6aabf3d6b61069c/tiles/{z}/{x}/{y},T-B-A-,No signal -- likely ghost project or coordinate error > 150m,sparse_before,0.5,suspect,ghost_or_lost_coord,,
17AF0038,"REPAIR/MAINTENANCE OF FLOOD CONTROL WORKS & DRAINAGE STRUCTURE, GUSING, NAG. LU",Flood Control and Drainage,Completed,16.565546,120.40176,ok,2017,2017,8247089.3,E.E. MADAYAG CONSTRUCTION (25029),,,0,3,False,27.321611716181486,1.1306373023541088,-0.0102208241182733,0.3049187165081323,0.6435193976603908,-0.1099554057054221,0.1350037090525031,0.2750929542995989,0.229065730956232,0.1192759318686117,0.4096615066542285,-0.3457531524721642,0.0639083541820638,0.3266846628754232,-0.2834192378737389,0.0050456677056715,0.1300637643213443,0.0229729768513629,-0.7274445520055831,0.5790166820759299,-0.4507383325589412,0.1282783495169887,0.355770105054211,-0.257880088386104,-0.0251768561677964,0.1125103900700436,0.0555795847604841,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/0ee1d5c053e6303b2385ef64b14092bf-967285fd9664c997712818762daea473/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/511d14f22c2cb88fa1f3d7bc7606779d-a55b91a3e16ccafb69c50efaf74dd3fe/tiles/{z}/{x}/{y},T-B+A+,Built nearby -- moderate coordinate offset,sparse_before,0.5,suspect,confirmed_built,,False
17PA0060,"REPAIR/REHABILITATION/IMPROVEMENT OF CABAROAN FLOOD CONTROL, CABAROAN, TAYUM, ABRA",Flood Control and Drainage,Completed,17.6196,120.648,ok,2017,2017,44350703.08,R.U. AQUINO CONSTRUCTION AND DEVELOPMENT CORP. (FO (23507),,,0,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/10efa4f88b62dc354a43b6e10ea9e1f5-1086d281218abb22cbd961c798a3c7a1/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/1e821f6fc5692b91ace428d6dbc8ce16-3f925ed62728e51488c9e8e61877eb85/tiles/{z}/{x}/{y},T-B-A-,No signal -- likely ghost project or coordinate error > 150m,sparse_before,0.5,suspect,ghost_or_lost_coord,,
17AB0002,"CONSTRUCTION/MAINTENANCE OF FLOOD MITIGATION STRUCTURES AND DRAINAGE SYSTEMS; CONSTRUCTION OF FLOOD CONTROL STRUCTURE ALONG DONGDONG RIVER, BRGY. ACNAM, NUEVA ERA, ILOCOS NORTE",Flood Control and Drainage,Completed,17.928498,120.681076,ok,2017,2017,44098880.2,GACUTAN CONSTRUCTION INC. (FORMERLY: GACUTAN CONSTRUCTION) (10789),,,0,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/fc2099f90c95274b713b68b6082a5f9c-02c5bfa48bd22d97574239bc2afa06fe/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/bd418db297c1db016c89d3e34aac3fec-698eda11e6e3f2206d8ecbb3f9eca381/tiles/{z}/{x}/{y},T-B-A-,No signal -- likely ghost project or coordinate error > 150m,sparse_before,0.5,suspect,ghost_or_lost_coord,,
17CD0009,"CONSTRUCTION OF  FLOOD CONTROL STRUCTURES ALONG OBANDO RIVER, PHASE II, OBANDO, BULACAN",Flood Control and Drainage,Completed,14.707799,120.92475,ok,2017,2017,46458337.0,ST. GERRARD CONSTRUCTION GEN. CONTRACTOR & DEVELOPMENT CORP. (FORMERLY:ST. GERRARD CONSTRUCTION) ([REVOKED] 31762) / N.M.E. CONSTRUCTION (22984),,,0,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/a3efdbf691966d3c1e7f726930b7ca3a-a9fc1094ea87d93bc8805cc0927acd3d/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/df8dc66d22e9223dda03e227a279ed26-8ac8654e2e8741ae75e705062cdb44c8/tiles/{z}/{x}/{y},T-B-A-,No signal -- likely ghost project or coordinate error > 150m,sparse_before,0.5,suspect,ghost_or_lost_coord,,
17K00018,"REHAB./OF FLOOD CONTROL STRUCT. ALONG SH W/SLOPE PROT.,ALAE-KISOLON SECT.,MALUKO,MF,BUK 1ST LD",Flood Control and Drainage,Completed,8.3685286,124.956011,ok,2017,2017,48121731.47,"M. MONTESCLAROS ENTERPRISES, INC. (6506)",,,0,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/0e731a2e0f5f49a1f3da3a9d8e97a4bd-2424686ef53ff1683b45d29a39e9c9d8/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/b31ff8d533a393054b073bffd0c7784b-4a7e787d7efe3597c105419fa9342635/tiles/{z}/{x}/{y},T-B-A-,No signal -- likely ghost project or coordinate error > 150m,sparse_before,0.5,suspect,ghost_or_lost_coord,,
16DK0082,"CONST AND MAINT OF FLOOD MITIGATION STRUCTURES AND DRAINAGE SYSTEM, CONST OF  FLD CONT  AGOS RIVER,",Flood Control and Drainage,Completed,14.75288,121.623195,ok,2017,2017,14700000.0,R.T.Y.  CONSTRUCTION (10341),,,0,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/15e587eb56261206489ba0e58523939b-b314279b4f9f4982bac7a7e6e05a0d45/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/d90229269cf34e92e4370257acbba791-6b9863a39a785ee5284267ecfddb01e9/tiles/{z}/{x}/{y},T-B-A-,No signal -- likely ghost project or coordinate error > 150m,sparse_before,0.5,suspect,ghost_or_lost_coord,,
16CE0224,"REHABILITATION OF FLOOD CONTROL DIKES ALONG BANCO RIVER, SAN ESTEBAN, STA. 5+260-STA. 5+412, RIZAL,",Flood Control and Drainage,Completed,15.68881,121.14016,ok,2017,2017,18372917.43,WIZARD CONCRETE SOLUTIONS AND CONSTRUCTION CORPORATION (FORMERLY: WIZARD TRADING & CONSTRUCTION) (21921) / LISA CONSTRUCTION (24134),,,0,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/f6487585fad47e7de6f26643809f29e8-ba92f6854b53838487a7739db238ba1a/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/f07c124d6615a52994a9c7c5374559b6-cc3d32f60c64151947e6ae078ff84127/tiles/{z}/{x}/{y},T-B-A-,No signal -- likely ghost project or coordinate error > 150m,sparse_before,0.5,suspect,ghost_or_lost_coord,,
17FA0021,"CLUSTER 11- CONSTRUCTION/MAINTENANCE OF FLOOD MITIGATION STRUCTURES AND DRAINAGE SYSTEMS: REHABILITATION/CONSTRUCTION/EXTENSION OF SEAWALL AT SAN LORENZO, SALVACION AND TAYHI, TABACO CITY, ALBAY 1ST LD",Flood Control and Drainage,Completed,13.336209,123.740949,ok,2017,2017,96500000.0,"WCS CONSTRUCTION, INC. (6516)",,,0,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/3ba362a3c2fe77ba3f4082159cb65645-c11598e48cf91e56a3f7ac230778244d/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/1be4579d4f8f5c481aabffbaddfee1a2-83ca9d6b8551d11ae89b6cefe2a4e316/tiles/{z}/{x}/{y},T-B-A-,No signal -- likely ghost project or coordinate error > 150m,sparse_before,0.5,suspect,ghost_or_lost_coord,,
17FL0017,"CONSTRUCTION OF FLOOD CONTROL STRUCTURE, MANJUMLAD, MATNOG, SORSOGON, BRGY. MANJUMLAD, MATNOG, SORSO",Flood Control and Drainage,Completed,12.601895,124.07375,ok,2017,2017,44090571.18,ALRO CONSTRUCTION & DEVELOPMENT CORP. (18361),,,0,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/e6458b2ccae12539f7c3aa0b37269e2e-19c7871d2009d5179d7cd7ae9dd3e8d2/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/66c76c32f680038e231f09057608868d-46ef5df1a94b0c4baf3df2b9dc686d7b/tiles/{z}/{x}/{y},T-B-A-,No signal -- likely ghost project or coordinate error > 150m,sparse_before,0.5,suspect,ghost_or_lost_coord,,
17PA0032,"REHABILITATION AND IMPROVEMENT OF DALAGUISEN FLOOD CONTROL, DALAGUISEN, LAGANGILANG, ABRA",Flood Control and Drainage,Completed,17.5812,120.7483,ok,2017,2017,42995568.45,R.U. AQUINO CONSTRUCTION AND DEVELOPMENT CORP. (FO (23507),,,0,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/3f88d9aa40c2c2af2c6fa577d356b427-3e5f226e59cbbf49c468a6bbb4bbe945/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/df9fdd4f8d9623f5c3469a9cbb4401d9-b1395bd92ccc839c7d774e4e8727e54d/tiles/{z}/{x}/{y},T-B-A-,No signal -- likely ghost project or coordinate error > 150m,sparse_before,0.5,suspect,ghost_or_lost_coord,,
17BI0094,"CONSTUCTION/REHABILITATION OF FLOOD MITIGATION FACILITIES ALONG MAJOR RIVER BASINS AND PRINCIPAL RIVERS-CAGAYAN RIVER BASIN-CONSTRUCTION OF MAGAT RIVER CONTROL, ABIAN SECTION (PHASE II), BAMBANG, NUEVA VIZCAYA",Flood Control and Drainage,Completed,16.425194,121.120861,ok,2017,2017,9259021.47,G.M. PAJARILLAGA CONSTRUCTION & SUPPLY (21760),,,0,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/d142c680bd16fb476fd7e60e2a2e7ae9-3b7f261f46c19c23b67d3e9687317b79/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/ee673e74c28abb9d69963875e749f395-0a05b95d78b1560c8999da7bfa970c6f/tiles/{z}/{x}/{y},T-B-A-,No signal -- likely ghost project or coordinate error > 150m,sparse_before,0.5,suspect,ghost_or_lost_coord,,
17EI0088,"CONSTRUCTION OF FLOOD MITIGATION STRUCTURES, CONSTRUCTION OF FLOOD CONTROL BALETE RIVER, GLORIA, ORIENTAL MINDORO",Flood Control and Drainage,Completed,12.677924,121.382511,ok,2017,2017,11208793.79,ALBERTO UY CONSTRUCTION & DEVELOPMENT (20924),,,0,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/1b088bb58aafb272a569200acb994dd4-c150ee6077bfad38ae9410cbe72e0745/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/813a2f101b26d9c949bd4bd47adbdcea-65a2943ff832c849afd5acb7d5103085/tiles/{z}/{x}/{y},T-B-A-,No signal -- likely ghost project or coordinate error > 150m,sparse_before,0.5,suspect,ghost_or_lost_coord,,
